title,categoryName,city,totalScore,reviewsCount
Pizza Hut Restoran - Daan Mogot Tangerang,Restoran Pizza,Kota Tangerang,4.6,4446.0
Seafood Serasa di Bali,Restoran Seafood,Tangerang kota,4.8,516.0
Warung Surabaya Cak Hazy,Restoran Jawa Timur,Kota Tangerang,4.7,1123.0
WAROENG SAMBAL BAKAR BABAKAN,Restoran,Kota Tangerang,4.4,1090.0
"Depot ""Sami Asih 1"" Surabaya",Restoran Jawa,Kota Tangerang,4.4,2114.0
PONDOK SATE JOGJA H OEMAR HANA,Restoran Sate,Kota Tangerang,4.5,628.0
Sop Durian Teh Mela,Restoran,Kota Tangerang,4.7,2429.0
NEWTOWN WATERPARK,Taman Rekreasi Air,Kota Tangerang,4.6,3241.0
Loteng Cafe Modernland,Kedai Kopi,Kota Tangerang,4.9,1426.0
I Am Geprek Bensu Sangiang jaya,Restoran Masakan Ayam,Kota Tangerang,4.3,919.0
HokBen Tangerang Kota,Restoran Jepang,Kota Tangerang,4.3,2837.0
Es'eS Cendol Duren & Seafood Laut Nusantara,Restoran,Kota Tangerang,4.3,691.0
Bubur Ayam Special ”Keluarga” Alex,Restoran Bubur,Kota Tangerang,4.7,578.0
Masjid Agung Nurul Yaqin (Masjid Pintu Seribu) Tangerang,Masjid,Kota Tangerang,4.4,1028.0
Ayam Penyet Surabaya marsekal,Restoran ayam penyet,Kota Tangerang,4.3,940.0
Sogogi Shabu & Grill Pasar Lama,Restoran Korea,Kota Tangerang,4.8,1900.0
Tropikana Waterpark Cimone,Taman Rekreasi Air,Kota Tangerang,4.1,1597.0
Funpark permata waterboom,Kolam Renang Umum,Kabupaten Tangerang,4.4,4847.0
Pondok Bakso Mas Boy Solo,Restoran Bakso,Kota Tangerang,4.6,762.0
Almaz Fried Chicken - Karawaci,Restoran,Jakarta,4.8,730.0
